('15:48:04.719974', b'>\r\n', 'sent:1-15:48:04.690696*')
('15:48:04.746326', b'>\r\n', 'sent:1-15:48:04.719974*')
('15:48:04.770726', b'>\r\n', 'sent:1-15:48:04.746326*')
('15:48:04.794150', b'>\r\n', 'sent:1-15:48:04.770726*')
('15:48:04.818551', b'>\r\n', 'sent:1-15:48:04.794150*')
('15:48:04.904439', b'D2-15:48:04.857590************\r\n', '')
('15:48:05.008872', b'>\r\n', 'sent:1-15:48:04.904439*')
('15:48:05.032297', b'>\r\n', 'sent:1-15:48:05.008872*')
('15:48:05.057672', b'>\r\n', 'sent:1-15:48:05.032297*')
('15:48:05.083048', b'>\r\n', 'sent:1-15:48:05.057672*')
('15:48:05.212858', b'>\r\n', 'sent:1-15:48:05.083048*')
('15:48:05.240185', b'>\r\n', 'sent:1-15:48:05.212858*')
('15:48:05.260690', b'>\r\n', 'sent:1-15:48:05.240185*')
('15:48:05.376827', b'>\r\n', 'sent:1-15:48:05.260690*')
('15:48:05.400250', b'>\r\n', 'sent:1-15:48:05.376827*')
('15:48:05.502061', b'>\r\n', 'sent:1-15:48:05.400250*')
('15:48:05.588904', b'D2-15:48:05.540126************\r\n', '')
('15:48:05.592807', b'>\r\n', 'sent:1-15:48:05.588904*')
('15:48:05.678719', b'D2-15:48:05.631842************\r\n', '')
('15:48:05.688451', b'D2-15:48:05.635746************\r\n', '')
('15:48:05.740179', b'D2-15:48:05.657219************\r\n', '')
('15:48:05.744083', b'>\r\n', 'sent:1-15:48:05.740179*')
('15:48:05.767508', b'>\r\n', 'sent:1-15:48:05.744083*')
('15:48:05.791908', b'>\r\n', 'sent:1-15:48:05.767508*')
('15:48:05.939284', b'D2-15:48:05.798741************\r\n', '')
('15:48:06.042770', b'>\r\n', 'sent:1-15:48:05.939284*')
('15:48:06.190118', b'D2-15:48:06.146198************\r\n', '')
('15:48:06.194022', b'>\r\n', 'sent:1-15:48:06.190118*')
('15:48:06.219400', b'>\r\n', 'sent:1-15:48:06.194022*')
('15:48:06.306262', b'D2-15:48:06.234038************\r\n', '')
('15:48:06.309190', b'>\r\n', 'sent:1-15:48:06.306262*')
('15:48:06.457556', b'>\r\n', 'sent:1-15:48:06.309190*')
('15:48:07.524348', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:07.528253', b'No Wi-Fi connection\r\n', '')
('15:48:07.535054', b'>\r\n', 'sent:1-15:48:07.528253*')
('15:48:07.682429', b'>\r\n', 'sent:1-15:48:07.535054*')
('15:48:07.794671', b'>\r\n', 'sent:1-15:48:07.682429*')
('15:48:07.818094', b'>\r\n', 'sent:1-15:48:07.794671*')
('15:48:07.841520', b'>\r\n', 'sent:1-15:48:07.818094*')
('15:48:07.927435', b'D2-15:48:07.850304************\r\n', '')
('15:48:07.933269', b'D2-15:48:07.874703************\r\n', '')
('15:48:07.937168', b'>\r\n', 'sent:1-15:48:07.933269*')
('15:48:07.961578', b'>\r\n', 'sent:1-15:48:07.937168*')
('15:48:07.984017', b'>\r\n', 'sent:1-15:48:07.961578*')
('15:48:08.094305', b'>\r\n', 'sent:1-15:48:07.984017*')
('15:48:08.120657', b'>\r\n', 'sent:1-15:48:08.094305*')
('15:48:08.208497', b'D2-15:48:08.138225************\r\n', '')
('15:48:08.416386', b'>\r\n', 'sent:1-15:48:08.208497*')
('15:48:08.503251', b'D2-15:48:08.451521************\r\n', '')
('15:48:09.602233', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:09.606136', b'No Wi-Fi connection\r\n', '')
('15:48:09.617876', b'>\r\n', 'sent:1-15:48:09.606136*')
('15:48:09.766203', b'D2-15:48:09.553432************\r\n', '')
('15:48:09.772059', b'D2-15:48:09.722280************\r\n', '')
('15:48:09.775962', b'>\r\n', 'sent:1-15:48:09.772059*')
('15:48:09.898961', b'>\r\n', 'sent:1-15:48:09.775962*')
('15:48:09.922389', b'>\r\n', 'sent:1-15:48:09.898961*')
('15:48:09.949691', b'>\r\n', 'sent:1-15:48:09.922389*')
('15:48:09.973142', b'>\r\n', 'sent:1-15:48:09.949691*')
('15:48:09.999496', b'>\r\n', 'sent:1-15:48:09.973142*')
('15:48:10.108811', b'>\r\n', 'sent:1-15:48:09.999496*')
('15:48:11.294890', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:11.298795', b'No Wi-Fi connection\r\n', '')
('15:48:11.369067', b'D2-15:48:11.292938************\r\n', '')
('15:48:11.474475', b'D2-15:48:11.339787************\r\n', '')
('15:48:11.483260', b'>\r\n', 'sent:1-15:48:11.474475*')
