('11:15:25.969576', b'D1-480************************\trssi:-37\r\n', '')
('11:15:25.969576', b'D1-481************************\trssi:-38\r\n', '')
('11:15:25.969576', b's-dur: 61588\r\n', '')
('11:15:25.969576', b'S\r\n', '')
('11:15:26.016451', b'D1-482************************\trssi:-37\r\n', '')
('11:15:26.032042', b'D1-483************************\trssi:-37\r\n', '')
('11:15:26.032042', b'D1-484************************\trssi:-37\r\n', '')
('11:15:26.032042', b's-dur: 61772\r\n', '')
('11:15:26.141422', b'S\r\n', '')
('11:15:26.203875', b'D1-493************************\trssi:-37\r\n', '')
('11:15:26.203875', b'D1-491************************\trssi:-38\r\n', '')
('11:15:26.219496', b'D1-492************************\trssi:-38\r\n', '')
('11:15:26.219496', b's-dur: 61589\r\n', '')
('11:15:26.406986', b'S\r\n', '')
('11:15:26.485062', b'D1-505************************\trssi:-37\r\n', '')
('11:15:26.485062', b'D1-506************************\trssi:-37\r\n', '')
('11:15:26.485062', b'D1-507************************\trssi:-39\r\n', '')
('11:15:26.485062', b's-dur: 61604\r\n', '')
('11:15:26.500682', b'S\r\n', '')
('11:15:26.563169', b'D1-510************************\trssi:-37\r\n', '')
('11:15:26.578790', b'D1-511************************\trssi:-37\r\n', '')
('11:15:26.578790', b'D1-509************************\trssi:-39\r\n', '')
('11:15:26.578790', b's-dur: 61435\r\n', '')
('11:15:26.594412', b'S\r\n', '')
('11:15:26.656918', b'D1-516************************\trssi:-37\r\n', '')
('11:15:26.656918', b'D1-514************************\trssi:-38\r\n', '')
('11:15:26.672519', b'D1-515************************\trssi:-38\r\n', '')
('11:15:26.672519', b's-dur: 61438\r\n', '')
('11:15:26.672519', b'S\r\n', '')
('11:15:26.719383', b'D1-517************************\trssi:-38\r\n', '')
('11:15:26.719383', b'D1-518************************\trssi:-38\r\n', '')
('11:15:26.735004', b'D1-519************************\trssi:-38\r\n', '')
('11:15:26.735004', b's-dur: 61683\r\n', '')
('11:15:26.735004', b'S\r\n', '')
('11:15:26.781867', b'D1-521************************\trssi:-37\r\n', '')
('11:15:26.781867', b'D1-522************************\trssi:-37\r\n', '')
('11:15:26.797516', b'D1-520************************\trssi:-39\r\n', '')
('11:15:26.797516', b's-dur: 61657\r\n', '')
('11:15:26.797516', b'S\r\n', '')
('11:15:26.844374', b'D1-523************************\trssi:-37\r\n', '')
('11:15:26.844374', b'D1-524************************\trssi:-37\r\n', '')
('11:15:26.859975', b'D1-525************************\trssi:-38\r\n', '')
('11:15:26.859975', b's-dur: 61657\r\n', '')
('11:15:26.938083', b'S\r\n', '')
('11:15:27.000588', b'D1-533************************\trssi:-37\r\n', '')
('11:15:27.000588', b'D1-531************************\trssi:-38\r\n', '')
('11:15:27.000588', b'D1-532************************\trssi:-39\r\n', '')
('11:15:27.000588', b's-dur: 61581\r\n', '')
('11:15:27.234920', b'S\r\n', '')
('11:15:27.297406', b'D1-547************************\trssi:-37\r\n', '')
('11:15:27.297406', b'D1-548************************\trssi:-37\r\n', '')
('11:15:27.313027', b'D1-546************************\trssi:-38\r\n', '')
('11:15:27.313027', b's-dur: 61597\r\n', '')
('11:15:27.391101', b'S\r\n', '')
('11:15:27.453620', b'D1-554************************\trssi:-38\r\n', '')
('11:15:27.453620', b'D1-555************************\trssi:-39\r\n', '')
('11:15:27.453620', b's-dur: 61443\r\n', '')
('11:15:27.453620', b'S\r\n', '')
('11:15:27.516105', b'D1-556************************\trssi:-37\r\n', '')
('11:15:27.516105', b'D1-557************************\trssi:-37\r\n', '')
('11:15:27.516105', b'D1-559************************\trssi:-37\r\n', '')
('11:15:27.531730', b'D1-558************************\trssi:-38\r\n', '')
('11:15:27.531730', b's-dur: 64213\r\n', '')
('11:15:27.531730', b'S\r\n', '')
('11:15:27.578590', b'D1-561************************\trssi:-37\r\n', '')
('11:15:27.578590', b'D1-562************************\trssi:-37\r\n', '')
('11:15:27.594181', b'D1-560************************\trssi:-38\r\n', '')
('11:15:27.594181', b's-dur: 61678\r\n', '')
('11:15:27.594181', b'S\r\n', '')
('11:15:27.641045', b'D1-563************************\trssi:-37\r\n', '')
('11:15:27.641045', b'D1-564************************\trssi:-37\r\n', '')
('11:15:27.656666', b'D1-565************************\trssi:-37\r\n', '')
('11:15:27.656666', b's-dur: 61664\r\n', '')
('11:15:27.672309', b'S\r\n', '')
('11:15:27.734795', b'D1-568************************\trssi:-37\r\n', '')
('11:15:27.734795', b'D1-569************************\trssi:-37\r\n', '')
('11:15:27.734795', b's-dur: 61500\r\n', '')
('11:15:27.734795', b'S\r\n', '')
('11:15:27.797290', b'D1-572************************\trssi:-37\r\n', '')
('11:15:27.797290', b'D1-573************************\trssi:-37\r\n', '')
