('17:50:35.705260', '2-658')
('17:50:35.861206', '2-659')
('17:50:35.955205', '2-660')
('17:50:35.986301', '2-661')
('17:50:36.080172', '2-662')
('17:50:36.283254', '2-663')
('17:50:36.673529', '2-664')
('17:50:37.017476', '2-665')
('17:50:37.173673', '2-666')
('17:50:37.189292', '2-667')
('17:50:37.220553', '2-668')
('17:50:37.251771', '2-669')
('17:50:37.345491', '2-670')
('17:50:37.376687', '2-671')
('17:50:37.470496', '2-672')
('17:50:38.175426', '2-673')
('17:50:38.269138', '2-674')
('17:50:38.472214', '2-675')
('17:50:38.690930', '2-676')
('17:50:38.722156', '2-677')
('17:50:39.050205', '2-678')
('17:50:39.331390', '2-679')
('17:50:39.362647', '2-680')
('17:50:39.393783', '2-681')
('17:50:39.674969', '2-682')
('17:50:40.003115', '2-683')
('17:50:40.159324', '2-684')
('17:50:40.362400', '2-685')
('17:50:40.471685', '2-686')
('17:50:40.549858', '2-687')
('17:50:40.581103', '2-688')
('17:50:40.737315', '2-689')
('17:50:40.768575', '2-690')
('17:50:40.924773', '2-691')
('17:50:40.940393', '2-692')
('17:50:40.971635', '2-693')
('17:50:41.190336', '2-694')
('17:50:41.346552', '2-695')
('17:50:41.362163', '2-696')
('17:50:41.643078', '2-697')
('17:50:41.737075', '2-698')
('17:50:41.814978', '2-699')
('17:50:41.908937', '2-700')
('17:50:42.002663', '2-701')
('17:50:42.158877', '2-702')
('17:50:42.486927', '2-703')
('17:50:42.580654', '2-704')
('17:50:42.674376', '2-705')
('17:50:42.705632', '2-706')
('17:50:42.849363', '2-707')
('17:50:42.880404', '2-708')
('17:50:42.974299', '2-709')
('17:50:43.005574', '2-710')
('17:50:43.036544', '2-711')
('17:50:43.380505', '2-712')
('17:50:43.646054', '2-713')
('17:50:43.802266', '2-714')
('17:50:43.833525', '2-715')
('17:50:43.974096', '2-716')
('17:50:44.067810', '2-717')
('17:50:44.161485', '2-718')
('17:50:44.255040', '2-719')
('17:50:44.348861', '2-720')
('17:50:44.489606', '2-721')
('17:50:44.520867', '2-722')
('17:50:44.677009', '2-723')
('17:50:44.770815', '2-724')
('17:50:45.098585', '2-725')
('17:50:45.129807', '2-726')
('17:50:45.286304', '2-727')
('17:50:45.395394', '2-728')
('17:50:45.535984', '2-729')
('17:50:45.629713', '2-730')
('17:50:45.660956', '2-731')
('17:50:45.801528', '2-732')
('17:50:45.895276', '2-733')
('17:50:46.061197', '2-734')
('17:50:46.090126', '2-735')
('17:50:46.183855', '2-736')
('17:50:46.324740', '2-737')
('17:50:46.355967', '2-738')
('17:50:46.694198', '2-739')
('17:50:46.850685', '2-740')
('17:50:46.991265', '2-741')
('17:50:47.209923', '2-742')
('17:50:47.303416', '2-743')
('17:50:47.522391', '2-744')
('17:50:47.616116', '2-745')
('17:50:47.647105', '2-746')
('17:50:47.798284', '2-747')
('17:50:48.006873', '2-748')
('17:50:48.084934', '2-749')
('17:50:48.115927', '2-750')
('17:50:48.522361', '2-751')
('17:50:48.725161', '2-752')
('17:50:49.006351', '2-753')
('17:50:49.225048', '2-754')
('17:50:49.240938', '2-755')
('17:50:49.647101', '2-756')
('17:50:49.678332', '2-757')
('17:50:49.897046', '2-758')
('17:50:50.037633', '2-759')
('17:50:50.193853', '2-760')
('17:50:50.396941', '2-761')
('17:50:50.615641', '2-762')
('17:50:50.646884', '2-763')
('17:50:50.865583', '2-764')
('17:50:51.443393', '2-765')
('17:50:51.474525', '2-766')
('17:50:51.865336', '2-767')
('17:50:51.896572', '2-768')
('17:50:52.115279', '2-769')
('17:50:52.521437', '2-770')
('17:50:52.554404', '2-771')
('17:50:52.710671', '2-772')
('17:50:52.976452', '2-773')
('17:50:53.866895', '2-774')
('17:50:54.194952', '2-775')
('17:50:54.413640', '2-776')
('17:50:54.444885', '2-777')
('17:50:54.772933', '2-778')
('17:50:54.804158', '2-779')
('17:50:54.835405', '2-780')
('17:50:54.929055', '2-781')
('17:50:54.944769', '2-782')
('17:50:55.413396', '2-783')
('17:50:55.866384', '2-784')
('17:50:55.960141', '2-785')
('17:50:55.991303', '2-786')
('17:50:56.444411', '2-787')
('17:50:56.475617', '2-788')
('17:50:56.506865', '2-789')
('17:50:56.647228', '2-790')
('17:50:56.678478', '2-791')
('17:50:56.834955', '2-792')
('17:50:56.991051', '2-793')
('17:50:57.372771', '2-794')
('17:50:57.482090', '2-795')
('17:50:57.935120', '2-796')
('17:50:58.263162', '2-797')
('17:50:58.294417', '2-798')
('17:50:58.695368', '2-799')
('17:50:58.711006', '2-800')
('17:50:58.992154', '2-801')
('17:50:59.194975', '2-802')
('17:50:59.413966', '2-803')
('17:50:59.445148', '2-804')
('17:50:59.523023', '2-805')
('17:50:59.554560', '2-806')
('17:50:59.773001', '2-807')
('17:50:59.991666', '2-808')
('17:51:00.007510', '2-809')
('17:51:00.101298', '2-810')
('17:51:00.132553', '2-811')
('17:51:00.522867', '2-812')
('17:51:00.851110', '2-813')
('17:51:00.882362', '2-814')
('17:51:01.038590', '2-815')
('17:51:01.054191', '2-816')
('17:51:01.210411', '2-817')
('17:51:01.226032', '2-818')
('17:51:01.335105', '2-819')
('17:51:01.351018', '2-820')
('17:51:01.382245', '2-821')
('17:51:01.475971', '2-822')
('17:51:01.507138', '2-823')
('17:51:01.600962', '2-824')
('17:51:01.694688', '2-825')
('17:51:01.897767', '2-826')
('17:51:01.929012', '2-827')
('17:51:02.444493', '2-828')
('17:51:02.725669', '2-829')
('17:51:02.811637', '2-830')
('17:51:03.155586', '2-831')
('17:51:03.358675', '2-832')
('17:51:03.389814', '2-833')
('17:51:03.421150', '2-834')
('17:51:03.452345', '2-835')
('17:51:03.608616', '2-836')
('17:51:03.811680', '2-837')
('17:51:03.905411', '2-838')
('17:51:03.936674', '2-839')
('17:51:04.217766', '2-840')
('17:51:04.420933', '2-841')
('17:51:04.696676', '2-842')
('17:51:04.727917', '2-843')
('17:51:05.055696', '2-844')
('17:51:05.212154', '2-845')
('17:51:05.430824', '2-846')
('17:51:05.571447', '2-847')
('17:51:05.602715', '2-848')
('17:51:05.696428', '2-849')
('17:51:05.790092', '2-850')
('17:51:06.008588', '2-851')
('17:51:06.102308', '2-852')
('17:51:06.117928', '2-853')
('17:51:06.149171', '2-854')
('17:51:06.305385', '2-855')
('17:51:06.336788', '2-856')
('17:51:06.352541', '2-857')
('17:51:06.383763', '2-858')
('17:51:06.415028', '2-859')
('17:51:06.446256', '2-860')
('17:51:06.461869', '2-861')
('17:51:06.805268', '2-862')
('17:51:07.008350', '2-863')
('17:51:07.039591', '2-864')
('17:51:07.321054', '2-865')
('17:51:07.414792', '2-866')
('17:51:07.633478', '2-867')
('17:51:07.664706', '2-868')
('17:51:07.937846', '2-869')
('17:51:08.031763', '2-870')
('17:51:08.109892', '2-871')
('17:51:08.141115', '2-872')
('17:51:08.234866', '2-873')
