('10:49:21.632909', b'D1-243************************\trssi:-11\r\n', '')
('10:49:21.686961', b'>\r\n', 'sent:2-258*')
('10:49:21.773823', b'D1-244************************\trssi:-10\r\n', '')
('10:49:21.834925', b'D1-245************************\trssi:-11\r\n', '')
('10:49:21.957025', b'D1-246************************\trssi:-10\r\n', '')
('10:49:22.018062', b'D1-248************************\trssi:-11\r\n', '')
('10:49:22.020936', b'D1-249************************\trssi:-11\r\n', '')
('10:49:22.021898', b'>\r\n', 'sent:2-259*')
('10:49:22.227023', b'>\r\n', 'sent:2-260*')
('10:49:22.248952', b'>\r\n', 'sent:2-261*')
('10:49:22.330960', b'>\r\n', 'sent:2-262*')
('10:49:22.352930', b'>\r\n', 'sent:2-263*')
('10:49:22.435970', b'>\r\n', 'sent:2-264*')
('10:49:22.519034', b'>\r\n', 'sent:2-265*')
('10:49:22.600967', b'>\r\n', 'sent:2-266*')
('10:49:22.623095', b'>\r\n', 'sent:2-267*')
('10:49:22.766952', b'D1-254************************\trssi:-10\r\n', '')
