('319.9986597740001', ('192.168.4.4', 8000), b'message: 158\r\n')
('321.0541250860001', ('192.168.4.4', 8000), b'message: 159\r\n')
('322.7293768039999', ('192.168.4.4', 8000), b'message: 160\r\n')
('323.0273501900001', ('192.168.4.20', 8000), b'message: 0\r\n')
('323.2797382630001', ('192.168.4.4', 8000), b'message: 161\r\n')
('323.63361998100004', ('192.168.4.20', 8000), b'message: 1\r\n')
('324.0027886790001', ('192.168.4.9', 8000), b'message: 7\r\n')
('324.31008477299997', ('192.168.4.9', 8000), b'message: 8\r\n')
('324.723235554', ('192.168.4.9', 8000), b'message: 9\r\n')
('325.309295241', ('192.168.4.9', 8000), b'message: 10\r\n')
('325.65799935500013', ('192.168.4.9', 8000), b'message: 11\r\n')
('326.0924813859999', ('192.168.4.20', 8000), b'message: 2\r\n')
('326.6398248759999', ('192.168.4.4', 8000), b'message: 162\r\n')
('327.630312688', ('192.168.4.20', 8000), b'message: 3\r\n')
('329.8518644579999', ('192.168.4.4', 8000), b'message: 163\r\n')
('331.6008262800001', ('192.168.4.4', 8000), b'message: 164\r\n')
('332.13405904', ('192.168.4.4', 8000), b'message: 165\r\n')
('333.1341200300001', ('192.168.4.20', 8000), b'message: 4\r\n')
('334.086432008', ('192.168.4.9', 8000), b'message: 12\r\n')
('334.39794122700005', ('192.168.4.20', 8000), b'message: 5\r\n')
('334.88796982100007', ('192.168.4.20', 8000), b'message: 6\r\n')
('335.269447268', ('192.168.4.20', 8000), b'message: 7\r\n')
('335.3792684140001', ('192.168.4.9', 8000), b'message: 13\r\n')
('336.3903871120001', ('192.168.4.4', 8000), b'message: 166\r\n')
('337.9044522670001', ('192.168.4.4', 8000), b'message: 167\r\n')
('338.45452346499997', ('192.168.4.20', 8000), b'message: 8\r\n')
('339.096665027', ('192.168.4.4', 8000), b'message: 168\r\n')
('340.95113596400006', ('192.168.4.4', 8000), b'message: 169\r\n')
('341.05167653700005', ('192.168.4.9', 8000), b'message: 14\r\n')
('341.1544633599999', ('192.168.4.20', 8000), b'message: 9\r\n')
('341.96927794299995', ('192.168.4.4', 8000), b'message: 170\r\n')
('342.87267539000004', ('192.168.4.20', 8000), b'message: 10\r\n')
('344.239058098', ('192.168.4.20', 8000), b'message: 11\r\n')
('345.8654745040001', ('192.168.4.20', 8000), b'message: 12\r\n')
('346.37644226399993', ('192.168.4.9', 8000), b'message: 15\r\n')
('346.78339851400006', ('192.168.4.4', 8000), b'message: 171\r\n')
('346.8839526290001', ('192.168.4.9', 8000), b'message: 16\r\n')
('347.18663393099996', ('192.168.4.9', 8000), b'message: 17\r\n')
('348.23464247200013', ('192.168.4.20', 8000), b'message: 13\r\n')
('349.0215177320001', ('192.168.4.20', 8000), b'message: 14\r\n')
