(14:47:3.35762400, '1-3339***********')
(14:47:3.51108700, '1-3344***********')
(14:47:3.51108700, '1-3343***********')
(14:47:3.62727300, '1-3347***********')
(14:47:4.05978600, '1-3349***********')
(14:47:4.74569500, '1-3361***********')
(14:47:4.93008400, '1-3364***********')
(14:47:5.05488400, '1-3367***********')
(14:47:6.51752600, '1-3389***********')
(14:47:6.59562500, '1-3393***********')
(14:47:7.54104400, '1-3405***********')
(14:47:7.60352100, '1-3407***********')
(14:47:7.82221600, '1-3410***********')
(14:47:7.82221600, '1-3409***********')
(14:47:7.94697500, '1-3411***********')
(14:47:8.86885500, '1-3425***********')
(14:47:9.11873700, '1-3427***********')
(14:47:9.63505200, '1-3433***********')
(14:47:9.96308100, '1-3439***********')
(14:47:12.52446400, '1-3479***********')
(14:47:12.79219000, '1-3484***********')
(14:47:12.79219000, '1-3485***********')
(14:47:13.04220600, '1-3488***********')
(14:47:13.13565400, '1-3489***********')
(14:47:13.19839200, '1-3491***********')
(14:47:13.63580600, '1-3493***********')
(14:47:13.90137600, '1-3498***********')
(14:47:14.90113600, '1-3511***********')
(14:47:14.90113600, '1-3510***********')
(14:47:15.78611000, '1-3521***********')
(14:47:15.78611000, '1-3522***********')
(14:47:16.09853800, '1-3528***********')
(14:47:16.09853800, '1-3527***********')
(14:47:16.80150000, '1-3538***********')
(14:47:16.92621000, '1-3540***********')
(14:47:17.11367400, '1-3543***********')
(14:47:17.11367400, '1-3544***********')
(14:47:17.16080200, '1-3545***********')
(14:47:17.53571400, '1-3547***********')
(14:47:17.62914800, '1-3550***********')
(14:47:18.11364200, '1-3558***********')
(14:47:18.31678500, '1-3560***********')
(14:47:18.33212800, '1-3561***********')
(14:47:18.37897100, '1-3562***********')
(14:47:18.37897100, '1-3563***********')
(14:47:18.66043200, '1-3569***********')
(14:47:18.87887500, '1-3575***********')
(14:47:19.31654900, '1-3580***********')
(14:47:20.80246200, '1-3601***********')
(14:47:20.86493500, '1-3602***********')
(14:47:21.83346500, '1-3610***********')
(14:47:21.83346500, '1-3609***********')
(14:47:22.02094000, '1-3613***********')
(14:47:22.02094000, '1-3614***********')
(14:47:22.13023900, '1-3615***********')
(14:47:22.94257300, '1-3628***********')
(14:47:23.13002600, '1-3631***********')
(14:47:23.80176700, '1-3638***********')
(14:47:23.95796400, '1-3642***********')
(14:47:24.11417700, '1-3646***********')
(14:47:24.39510600, '1-3652***********')
(14:47:24.63237100, '1-3654***********')
(14:47:24.94452000, '1-3659***********')
(14:47:25.00728700, '1-3661***********')
(14:47:25.44442500, '1-3665***********')
(14:47:25.50716900, '1-3667***********')
(14:47:25.94433000, '1-3675***********')
