('14:28:13.052415', b'>\r\n', 'sent:2-14:28:13.021238*')
('14:28:13.130308', b'>\r\n', 'sent:2-14:28:13.052415*')
('14:28:13.208692', b'>\r\n', 'sent:2-14:28:13.130308*')
('14:28:13.474261', b'>\r\n', 'sent:2-14:28:13.208692*')
('14:28:13.505244', b'>\r\n', 'sent:2-14:28:13.474261*')
('14:28:13.521121', b'>\r\n', 'sent:2-14:28:13.505244*')
('14:28:13.728934', b'>\r\n', 'sent:2-14:28:13.521121*')
('14:28:13.807034', b'>\r\n', 'sent:2-14:28:13.728934*')
('14:28:13.885145', b'>\r\n', 'sent:2-14:28:13.807034*')
('14:28:13.916401', b'>\r\n', 'sent:2-14:28:13.885145*')
('14:28:14.056972', b'>\r\n', 'sent:2-14:28:13.916401*')
('14:28:14.072619', b'>\r\n', 'sent:2-14:28:14.056972*')
('14:28:14.338170', b'>\r\n', 'sent:2-14:28:14.072619*')
('14:28:14.353805', b'>\r\n', 'sent:2-14:28:14.338170*')
('14:28:14.385034', b'>\r\n', 'sent:2-14:28:14.353805*')
('14:28:14.400668', b'>\r\n', 'sent:2-14:28:14.385034*')
('14:28:14.728700', b'>\r\n', 'sent:2-14:28:14.400668*')
('14:28:14.869296', b'>\r\n', 'sent:2-14:28:14.728700*')
('14:28:14.962854', b'>\r\n', 'sent:2-14:28:14.869296*')
('14:28:15.291064', b'>\r\n', 'sent:2-14:28:14.962854*')
('14:28:15.681366', b'>\r\n', 'sent:2-14:28:15.291064*')
('14:28:15.697155', b'>\r\n', 'sent:2-14:28:15.681366*')
('14:28:15.712701', b'>\r\n', 'sent:2-14:28:15.697155*')
('14:28:15.744002', b'>\r\n', 'sent:2-14:28:15.712701*')
('14:28:16.243984', b'>\r\n', 'sent:2-14:28:15.744002*')
('14:28:16.509541', b'>\r\n', 'sent:2-14:28:16.243984*')
('14:28:16.665490', b'>\r\n', 'sent:2-14:28:16.509541*')
('14:28:17.103164', b'>\r\n', 'sent:2-14:28:16.665490*')
('14:28:17.134401', b'>\r\n', 'sent:2-14:28:17.103164*')
('14:28:17.759261', b'>\r\n', 'sent:2-14:28:17.134401*')
('14:28:17.790521', b'>\r\n', 'sent:2-14:28:17.759261*')
('14:28:18.056058', b'>\r\n', 'sent:2-14:28:17.790521*')
('14:28:18.259145', b'>\r\n', 'sent:2-14:28:18.056058*')
('14:28:18.337243', b'>\r\n', 'sent:2-14:28:18.259145*')
('14:28:18.540339', b'>\r\n', 'sent:2-14:28:18.337243*')
('14:28:18.868381', b'>\r\n', 'sent:2-14:28:18.540339*')
('14:28:18.899643', b'>\r\n', 'sent:2-14:28:18.868381*')
('14:28:19.040219', b'>\r\n', 'sent:2-14:28:18.899643*')
('14:28:19.180793', b'>\r\n', 'sent:2-14:28:19.040219*')
('14:28:19.571356', b'>\r\n', 'sent:2-14:28:19.180793*')
('14:28:19.649468', b'>\r\n', 'sent:2-14:28:19.571356*')
('14:28:20.651055', b'>\r\n', 'sent:2-14:28:19.649468*')
('14:28:20.806985', b'>\r\n', 'sent:2-14:28:20.651055*')
('14:28:20.947857', b'>\r\n', 'sent:2-14:28:20.806985*')
('14:28:21.088465', b'>\r\n', 'sent:2-14:28:20.947857*')
('14:28:21.228782', b'>\r\n', 'sent:2-14:28:21.088465*')
('14:28:21.260195', b'>\r\n', 'sent:2-14:28:21.228782*')
('14:28:21.338408', b'>\r\n', 'sent:2-14:28:21.260195*')
