('10:50:22.044571', '1-795')
('10:50:22.127514', '1-796')
('10:50:22.153472', '1-797')
('10:50:22.305564', '1-798')
('10:50:22.328492', '1-799')
('10:50:22.350482', '1-800')
('10:50:22.559597', '1-801')
('10:50:22.646511', '1-802')
('10:50:22.725544', '1-803')
('10:50:22.877589', '1-804')
('10:50:22.958567', '1-805')
('10:50:23.167507', '1-806')
('10:50:23.190496', '1-807')
('10:50:23.278541', '1-808')
('10:50:23.365582', '1-809')
('10:50:23.693556', '1-810')
('10:50:23.902486', '1-811')
('10:50:23.925487', '1-812')
('10:50:24.129614', '1-813')
('10:50:24.212497', '1-814')
('10:50:24.291497', '1-815')
('10:50:24.434559', '1-816')
('10:50:24.582618', '1-817')
('10:50:24.605598', '1-818')
('10:50:24.689497', '1-819')
('10:50:24.773497', '1-820')
('10:50:24.927553', '1-821')
('10:50:25.010538', '1-822')
('10:50:25.033481', '1-823')
('10:50:25.178468', '1-824')
('10:50:25.201479', '1-825')
('10:50:25.531608', '1-826')
('10:50:25.554472', '1-827')
('10:50:25.576477', '1-828')
('10:50:25.719594', '1-829')
('10:50:25.863540', '1-830')
('10:50:25.886458', '1-831')
('10:50:26.094583', '1-832')
('10:50:26.117473', '1-833')
('10:50:26.140472', '1-834')
('10:50:26.162477', '1-835')
('10:50:26.307492', '1-836')
('10:50:26.637562', '1-837')
('10:50:26.964490', '1-838')
('10:50:27.108602', '1-839')
('10:50:27.251477', '1-840')
('10:50:27.273438', '1-841')
('10:50:27.354529', '1-842')
('10:50:27.497519', '1-843')
('10:50:27.520450', '1-844')
('10:50:27.542498', '1-845')
('10:50:27.625494', '1-846')
('10:50:28.140518', '1-847')
('10:50:28.223525', '1-848')
('10:50:28.246446', '1-849')
('10:50:28.458512', '1-850')
('10:50:28.481488', '1-851')
('10:50:28.563499', '1-852')
('10:50:28.586457', '1-853')
('10:50:28.792519', '1-854')
('10:50:28.875484', '1-855')
('10:50:28.957514', '1-856')
('10:50:29.048458', '1-857')
('10:50:29.378615', '1-858')
('10:50:29.401437', '1-859')
('10:50:29.545472', '1-860')
('10:50:29.876525', '1-861')
('10:50:29.963576', '1-862')
('10:50:30.046513', '1-863')
('10:50:30.129492', '1-864')
('10:50:30.212496', '1-865')
('10:50:30.295502', '1-866')
('10:50:30.378488', '1-867')
('10:50:30.461502', '1-868')
('10:50:30.604500', '1-869')
('10:50:30.694463', '1-870')
('10:50:30.716425', '1-871')
('10:50:30.862445', '1-872')
('10:50:30.885423', '1-873')
