(10:49:52.03172800, '2-5895***********')
(10:49:52.34650100, '2-5901***********')
(10:49:52.34948800, '2-5902***********')
(10:49:53.50488200, '2-5917***********')
(10:49:53.82538400, '2-5923***********')
(10:49:53.91813500, '2-5926***********')
(10:49:56.41321700, '2-5944***********')
(10:49:59.11464200, '2-5960***********')
(10:49:59.30973200, '2-5962***********')
(10:50:0.74753000, '2-5970***********')
(10:50:0.75052100, '2-5971***********')
(10:50:1.33005000, '2-5977***********')
(10:50:1.39114900, '2-5978***********')
(10:50:1.39414200, '2-5979***********')
(10:50:2.31107600, '2-5984***********')
(10:50:5.07879500, '2-6008***********')
(10:50:5.08178700, '2-6009***********')
(10:50:5.55882000, '2-6014***********')
(10:50:7.72063900, '2-6028***********')
(10:50:7.72463500, '2-6029***********')
(10:50:8.33546900, '2-6039***********')
(10:50:8.33846100, '2-6040***********')
(10:50:12.54235300, '2-6062***********')
(10:50:13.52109000, '2-6072***********')
(10:50:13.52308400, '2-6073***********')
(10:50:13.70674300, '2-6075***********')
(10:50:16.17794800, '2-6094***********')
(10:50:16.97604300, '2-6101***********')
(10:50:17.06925600, '2-6103***********')
(10:50:17.07224800, '2-6104***********')
(10:50:19.52642700, '2-6129***********')
(10:50:19.88274300, '2-6133***********')
(10:50:22.14906200, '2-6145***********')
(10:50:29.26640900, '2-6196***********')
(10:50:29.26940000, '2-6197***********')
(10:50:29.32841400, '2-6198***********')
(10:50:30.58161300, '2-6209***********')
(10:50:32.20295100, '2-6222***********')
(10:50:33.89231400, '2-6234***********')
(10:50:38.19276400, '2-6281***********')
(10:50:39.83730600, '2-6292***********')
(10:50:39.93228500, '2-6294***********')
(10:50:43.18789000, '2-6317***********')
(10:50:44.02740300, '2-6323***********')
(10:50:44.03039500, '2-6324***********')
(10:50:44.64173000, '2-6331***********')
(10:50:46.78831800, '2-6344***********')
(10:50:46.79130900, '2-6345***********')
(10:50:48.21103900, '2-6359***********')
(10:50:48.91832600, '2-6361***********')
(10:50:48.92430800, '2-6362***********')
(10:50:50.00118800, '2-6371***********')
(10:50:50.00418000, '2-6372***********')
(10:50:56.33318200, '2-6419***********')
(10:50:56.82566000, '2-6426***********')
(10:51:1.84475700, '2-6460***********')
(10:51:2.97209600, '2-6475***********')
(10:51:2.97409100, '2-6476***********')
(10:51:10.71973400, '2-6545***********')
(10:51:10.72170100, '2-6546***********')
(10:51:12.31671000, '2-6557***********')
(10:51:12.63583100, '2-6561***********')
(10:51:13.18764300, '2-6563***********')
(10:51:13.35020500, '2-6565***********')
(10:51:13.41104200, '2-6566***********')
(10:51:14.11605200, '2-6575***********')
(10:51:14.33979800, '2-6577***********')
(10:51:14.40087100, '2-6578***********')
(10:51:14.81993100, '2-6583***********')
(10:51:14.82292300, '2-6584***********')
(10:51:16.72865400, '2-6597***********')
(10:51:17.57424400, '2-6604***********')
(10:51:17.89172500, '2-6607***********')
(10:51:18.43704200, '2-6613***********')
