(15:0:17.24239000, '2-2631***********')
(15:0:17.33607700, '2-2633***********')
(15:0:17.95485000, '2-2641***********')
(15:0:18.14131800, '2-2645***********')
(15:0:18.20215500, '2-2646***********')
(15:0:18.77062800, '2-2654***********')
(15:0:19.01595300, '2-2658***********')
(15:0:19.49806700, '2-2667***********')
(15:0:19.62169700, '2-2670***********')
(15:0:19.62472600, '2-2671***********')
(15:0:19.80673300, '2-2673***********')
(15:0:19.81268300, '2-2674***********')
(15:0:19.86786200, '2-2675***********')
(15:0:19.87382100, '2-2676***********')
(15:0:19.92969400, '2-2677***********')
(15:0:20.23686900, '2-2679***********')
(15:0:20.36132500, '2-2682***********')
(15:0:20.63907500, '2-2685***********')
